date,time,Open,High,Low,Close,1004,ema4,ema8,ema16,rsi
2018.09.04,08:00:00,142.949,142.982,142.907,142.958,1306,142.93908671207222,142.919716307403,142.90484479746794,75.00516749026191
2018.09.04,08:15:00,142.958,143.014,142.942,142.992,1031,142.9602520272433,142.93577935020232,142.915098350707,89.68039631486285
2018.09.04,08:30:00,142.993,142.993,142.953,142.964,1250,142.961751216346,142.94205060571292,142.92085148591795,45.59158181561247
2018.09.04,08:45:00,142.965,142.998,142.939,142.987,1468,142.97185072980758,142.95203935999893,142.92863366404524,69.90125407372481
2018.09.04,09:00:00,142.985,143.092,142.982,143.068,2231,143.01031043788456,142.97780839111027,142.94502970356933,92.74208704290189
2018.09.04,09:15:00,143.069,143.127,142.996,143.074,2234,143.03578626273074,142.9991843041969,142.96020267961998,93.4755886939576
2018.09.04,09:30:00,143.074,143.096,143.013,143.044,2316,143.03907175763845,143.0091433477087,142.97006118789997,46.490849411557946
2018.09.04,09:45:00,143.044,143.107,143.011,143.054,2273,143.04504305458306,143.01911149266232,142.97993634226466,59.92107754854935
2018.09.04,10:00:00,143.057,143.246,143.033,143.208,2815,143.11022583274985,143.06108671651515,143.00676736082175,95.40930669712964
2018.09.04,10:15:00,143.207,143.228,143.114,143.19,2079,143.1421354996499,143.08973411284512,143.02832414190155,79.04728294834258
2018.09.04,10:30:00,143.19,143.202,143.083,143.141,2005,143.14168129978992,143.10112653221287,143.04158012520725,40.87911409911213
2018.09.04,10:45:00,143.142,143.142,142.977,143.029,1858,143.09660877987397,143.08509841394334,143.04010011047697,12.745547108588314
2018.09.04,11:00:00,143.03,143.047,142.925,142.981,2277,143.05036526792438,143.06196543306703,143.0331471563032,8.016584306426287
2018.09.04,11:15:00,142.981,143.166,142.941,143.15,2633,143.09021916075463,143.08152867016324,143.04689454967928,74.5385897250137
2018.09.04,11:30:00,143.142,143.142,142.9,143.007,3089,143.0569314964528,143.0649667434603,143.04220107324642,33.51751893879789
2018.09.04,11:45:00,143.007,143.026,142.831,142.997,2458,143.03295889787168,143.04986302269134,143.03688329992332,31.12206315464846
2018.09.04,12:00:00,142.997,143.008,142.836,142.885,2663,142.973775338723,143.0132267954266,143.01901467640292,11.965880401617328
2018.09.04,12:15:00,142.886,142.934,142.73,142.815,2045,142.9102652032338,142.9691763964429,142.99501294976727,6.762687518621823
2018.09.04,12:30:00,142.818,142.874,142.743,142.851,1880,142.88655912194025,142.94291497501115,142.97807024979465,35.5766519314068
2018.09.04,12:45:00,142.852,142.898,142.738,142.75,1783,142.83193547316415,142.90004498056422,142.95123845570114,13.012426558947345
2018.09.04,13:00:00,142.751,142.865,142.738,142.864,1342,142.8447612838985,142.89203498488328,142.9409751079716,64.22848542153271
2018.09.04,13:15:00,142.866,142.918,142.812,142.814,1417,142.8324567703391,142.87469387713145,142.92603685997494,42.3539775705521
2018.09.04,13:30:00,142.814,142.908,142.755,142.818,1765,142.82667406220347,142.8620952377689,142.91332664115436,45.33288330791463
2018.09.04,13:45:00,142.818,142.892,142.794,142.884,1484,142.84960443732206,142.86696296270912,142.90987644807737,79.79260264156792
2018.09.04,14:00:00,142.882,142.914,142.735,142.758,2036,142.81296266239323,142.84274897099598,142.8920086306565,23.421486732786505
2018.09.04,14:15:00,142.757,142.784,142.635,142.709,2440,142.77137759743596,142.81302697744133,142.87047820352046,15.115736780090085
2018.09.04,14:30:00,142.709,142.767,142.643,142.76,3530,142.76682655846156,142.80124320467658,142.85748076781218,51.1651568148821
2018.09.04,14:45:00,142.759,142.828,142.695,142.762,2903,142.76489593507694,142.79252249252625,142.84624773630486,52.73935903785489
2018.09.04,15:00:00,142.76,142.828,142.663,142.785,2592,142.77293756104615,142.79085082752042,142.83904212026897,72.86070748343835
2018.09.04,15:15:00,142.787,142.861,142.698,142.835,3368,142.7977625366277,142.8006617547381,142.8385665767079,90.4811117297826
2018.09.04,15:30:00,142.834,142.948,142.783,142.943,2227,142.85585752197662,142.83229247590742,142.8508528618011,97.49818616052849
2018.09.04,15:45:00,142.944,143.009,142.849,142.911,2617,142.87791451318597,142.8497830368169,142.85792899570683,67.8558053764702
